,part_idx,participant,mean_accuracy,inters_real,int_range,int_length,scenario,accuracy,difficulty
146,28,5e3df819d96094073a9c939a,0.6364676412938675,3.0,31.8,0.84,finance,0.6269379974696447,2
147,29,5e482f13410cd9000bc937bb,0.8478162980788845,6.2,112.80645161290323,3.109677419354839,finance,0.9246221638555591,1
148,30,5e6de0802649e039418cabd5,0.8624654026099312,9.0,117.44444444444444,2.6044444444444443,finance,0.9063414188418306,2
149,31,5e7b1409f898741063f7a2f1,0.8574150604386309,11.8,101.98305084745763,2.6271186440677967,finance,0.8613249509436928,1
150,32,5e7cb947659c7606131b5257,0.8354092571059949,6.2,122.70967741935483,3.2064516129032263,finance,0.8116891057113227,2
151,33,5e89d0a17ec160000888ee98,0.8150508962250109,8.4,123.80952380952381,4.747619047619048,finance,0.8130106019983085,2
152,34,5e8ef2059eeb7a1af7502f3c,0.8865267505707942,8.6,98.06976744186046,3.7674418604651163,finance,0.8327515979985818,1
153,35,5e99df633de3190530449f5c,0.857291224935304,12.4,77.38709677419355,1.8258064516129031,finance,0.8769085090206673,1
154,36,5ea1fd326a1a5b0f94637a31,0.8344464844550856,10.4,72.61538461538461,3.2192307692307693,finance,0.7245693027901261,2
155,37,5ea2bd8b006ae70616ae21ab,0.8975630192308653,11.6,62.46551724137931,2.606896551724138,finance,0.792768763753932,1
156,38,5ea98f445ef6ee093f4f05ec,0.8218665284344426,5.0,116.56,6.336000000000001,finance,0.850373599583855,1
157,39,5ec2cc6ace4b500d365da245,0.8318395013455524,10.2,85.43137254901961,3.4235294117647053,finance,0.8892302448756577,1
158,40,5ecb1505f9688367eddcc652,0.898190468582517,11.6,60.05172413793103,0.7620689655172415,finance,0.8561610095543848,2
159,41,5ed3b2b3397ebb01e2c64923,0.7590462068390573,2.4,49.916666666666664,1.2166666666666666,finance,0.763475041604367,2
160,42,5ed9111a0e4140448926fcd4,0.8322511164514037,6.0,86.43333333333334,5.2266666666666675,finance,0.6629000687683789,2
161,43,5ee29b48f876547924af1c69,0.9085371150269417,7.8,52.717948717948715,4.517948717948719,finance,0.913613157441864,1
162,44,5eeb40268b898027a055bfa3,0.9327691573498958,7.0,129.85714285714286,4.565714285714285,finance,0.91695452014626,1
163,45,5ef89a0c27c8ea5e88ff92a5,0.9224231381258887,5.4,142.66666666666666,5.385185185185185,finance,0.886039423540362,1
164,46,5f059570e74e9a0296628aeb,0.8921109390863687,11.0,71.81818181818181,3.08,finance,0.8068331476784361,2
165,47,5f149b7dab1b5e096ca4f39e,0.8581120116651118,7.8,56.17948717948718,0.5538461538461541,finance,0.886039423540362,1
166,48,5f1ff0f7027b2823badd501b,0.9495162053148594,5.2,87.42307692307692,4.538461538461538,finance,0.91695452014626,2
167,49,5f39653865d6044d868f1bd1,0.8405796260771886,7.2,109.47222222222223,3.677777777777779,finance,0.7951633774003244,2
168,50,5f4bf2e84e8b086d12006ddc,0.935641850292043,8.2,112.6829268292683,2.921951219512195,finance,1.0,2
169,51,5f57d2c5f35d4a2e440a4bad,0.9130192100362517,6.8,125.55882352941177,5.3999999999999995,finance,0.8551586351244197,2
170,52,5f5aa6d5b8e6411a69e274d5,0.9215529093908416,10.8,90.55555555555556,3.7777777777777777,finance,0.8778305556436947,2
171,53,5f5e2b126352f0691ad71e33,0.7601347734353341,10.4,75.46153846153847,4.303846153846154,finance,0.919417703597462,1
172,54,5f7644463bf0b60ced3a6757,0.835327425293445,8.0,131.925,4.779999999999999,finance,0.7355570573260275,1
173,55,5f7694edc99f3112b494e122,0.7291189112133674,5.6,84.53571428571429,1.7857142857142858,finance,0.7614406381931511,2
174,56,5f83c8f31854ab56a1f68bea,0.8674049501110639,8.0,121.4,4.659999999999999,finance,0.91695452014626,1
175,57,5f93fecc66720e1e31e43464,0.7513692113467807,5.2,114.53846153846153,3.838461538461538,finance,0.4777670321329065,1
176,58,5fad5859d0c7c602ce4d46db,0.8818160446769753,8.6,96.69767441860465,2.502325581395349,finance,1.0,2
177,59,5fae721319e73f2ff0c6605a,0.6635284744028741,8.2,89.07317073170732,1.7999999999999998,finance,0.46891499545620563,2
178,60,5fd3789cee06d705f5e783cc,0.7171734873576477,4.0,64.8,4.64,finance,0.7937157507482413,1
179,61,5fd8d828c853592bc565d160,0.8410892401072789,6.4,62.5625,5.64375,finance,0.9098330365332568,1
180,62,6017acc5665c42a2ae18dc42,0.7984040807367428,7.0,155.5142857142857,4.44,finance,0.6876524762227879,1
181,63,601903cdcd7cd6213bf60d64,0.834290259265666,10.0,108.18,3.3280000000000003,finance,0.919417703597462,1
182,64,6019bdc7141cd215ad62fd91,0.8998031067059096,5.0,92.32,3.96,finance,0.91695452014626,2
183,65,603e80821e9e5ed5aa62a889,0.8861666780268411,9.0,109.57777777777778,2.96,finance,0.792768763753932,2
184,66,604a3f554e0e49706d1e3dca,0.8879874886816381,8.8,88.38636363636364,3.909090909090909,finance,0.850373599583855,2
185,67,605b98c83da1ded576bcf096,0.8772121483365485,7.8,94.71794871794872,1.969230769230769,finance,0.913613157441864,2
186,68,607720d63363a7f7681aca7b,0.8958837859380948,7.4,63.86486486486486,3.2108108108108104,finance,0.91695452014626,2
187,69,607ef0b00dba56a5a84bcc96,0.8609546243405584,7.0,100.71428571428571,2.365714285714286,finance,0.8,2
188,70,6082f7e90a6e0ea1f8c6d7cb,0.8870667791670137,8.2,123.1951219512195,3.590243902439025,finance,0.8438262381113939,1
189,71,60b8b5dcb46db8ae98d0b047,0.7843117397388744,8.2,76.60975609756098,0.7853658536585366,finance,0.8933996418221948,2
190,72,60d0c9c5ee2b2dc08edb7f01,0.8712840146906636,11.0,54.236363636363635,2.5381818181818185,finance,0.8196660730665135,2
191,73,60d5f605483d5fe184fcaad8,0.8717303527287756,9.2,71.19565217391305,4.147826086956522,finance,0.8595121282627459,1
192,74,60d9a60a626e5d9fce67d7b2,0.9015532794744658,7.0,106.65714285714286,3.8,finance,0.9098330365332568,1
