,part_idx,participant,mean_accuracy,time_taken,inters_real,int_range,int_length,scenario,accuracy,difficulty
109,109,613f0f91c83af0d188a54669,0.7101505454394859,56.68326666666667,5.75,188.17391304347825,5.304347826086956,crime,0.8327515979985818,2.0
110,110,614edf1b57efb3bbc5edd55c,0.7053402693601118,31.57295,0.0,0.0,0.0,crime,0.8048199854102933,2.0
111,111,6151d444ac15808872e32dc8,0.7234772230112765,79.15248333333334,8.5,63.05882352941177,3.729411764705883,crime,0.7508635604387801,2.0
112,112,615230e2db85b00b50240ab8,0.8888344669184709,37.76798333333333,9.75,85.48717948717949,3.3641025641025637,crime,0.9246221638555591,1.0
113,113,615373f88839471e0ab77399,0.866559702960342,28.188266666666667,7.5,94.06666666666666,3.42,crime,0.8790283242181732,1.0
114,114,615ec387ec57223c894f6fc2,0.8469705469064637,59.84066666666667,7.75,83.35483870967742,4.012903225806451,crime,0.8199099324437007,1.0
115,115,616c3f3a378cb38f3f7ecac3,0.8535584892432599,29.223333333333336,6.0,116.66666666666667,4.45,crime,0.8116891057113227,2.0
116,116,61717173748006894b2b54ff,0.7764562912051742,25.205516666666664,10.75,85.44186046511628,3.809302325581395,crime,0.8564083682764524,2.0
117,117,6176966806de000024ed0ddf,0.6803385448837889,36.806083333333326,9.5,61.026315789473685,1.0263157894736843,crime,0.5326769804538822,1.0
118,0,56cb8858edf8da000b6df354,0.8334500972739781,25.500216666666667,8.5,54.44117647058823,4.7823529411764705,finance,0.9142507074287456,2.0
119,1,571de12713b1b70012be47f6,0.9113258751834048,33.74508333333333,10.25,77.26829268292683,1.9414634146341463,finance,0.9246221638555591,1.0
120,2,572f526c3c27e7000e0b8aaa,0.7883446440860835,29.35826666666667,6.0,101.25,4.141666666666667,finance,0.6552085864161944,2.0
121,3,5831960ab232860001b110dc,0.7675748532210639,24.723216666666666,1.0,46.75,2.1,finance,1.0,1.0
122,4,594abd98215cbd000146debc,0.6358618893104043,33.45865,0.0,0.0,0.0,finance,0.740839472325592,1.0
123,5,5acc65f668b65b00018db322,0.8558463965059351,27.90805,6.75,91.88888888888889,1.0296296296296297,finance,0.9221501055838477,1.0
124,6,5b339152afe1d00001c6c509,0.9000818522878855,20.703483333333335,6.5,112.26923076923077,3.9230769230769225,finance,0.91695452014626,1.0
125,7,5b84a7ea4f38790001778d53,0.8634633290003862,15.843033333333333,10.5,89.52380952380952,2.6619047619047613,finance,0.8433479100024085,1.0
126,8,5c018eb6067bbf00019ba43d,0.8233179894062059,21.198883333333335,5.5,159.04545454545453,6.999999999999999,finance,0.6552085864161944,2.0
127,9,5c06fc4918ac7e00016bf76d,0.9316744467021851,26.42275,9.0,122.69444444444444,4.9222222222222225,finance,0.91695452014626,1.0
128,10,5c17c149f596b100011ca8b8,0.8525448953306072,50.57736666666666,5.75,112.1304347826087,6.895652173913042,finance,0.7802823127989794,2.0
129,11,5c6400cbcb937d00012d8866,0.7500639521831669,54.018249999999995,9.5,87.89473684210526,0.6421052631578948,finance,0.7883963152424205,2.0
130,12,5c7dd22debc24800018e7ca0,0.7730826531509589,33.86761666666667,9.25,107.67567567567568,2.978378378378379,finance,0.7206898061345359,2.0
131,13,5c8bafb53b6f3d00013d7c30,0.6632227629554852,48.19173333333333,4.0,56.0625,3.0375,finance,0.6748983898677691,2.0
132,14,5cf9179b8c98dc0001d5a431,0.786741049818392,29.897516666666668,5.5,92.77272727272727,5.372727272727272,finance,0.8643353105061596,1.0
